"PMID","Research Type","Human / Mouse","Condition1","Condition2","Gut Microbiota (ID)","Classification","Alteration","Sequencing Technology","Microbial-Mediated Networks","Details"
"19235886","Gut microbiota associated with phenotype","Human","Active ulcerative colitis","Health","Firmicutes (1239, gm0332)","phylum","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19235886","Gut microbiota associated with phenotype","Human","Crohn Disease; Disease Transmission,Infectious","Health","Bifidobacterium (1678, gm0105)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19235886","Gut microbiota associated with phenotype","Human","Crohn Disease; Disease Transmission,Infectious","Health","Faecalibacterium prausnitzii (853, gm0327)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19235886","Gut microbiota associated with phenotype","Human","Crohn Disease; Disease Transmission,Infectious","Health","Firmicutes (1239, gm0332)","phylum","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19235886","Gut microbiota associated with phenotype","Human","Crohn Disease; Remission,Spontaneous","Health","Faecalibacterium prausnitzii (853, gm0327)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19369970","Gut microbiota associated with phenotype","Human","Enterocolitis,Necrotizing; Infant,Premature","Infant,Premature","Bacteroidetes (976, gm0090)","phylum","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"19369970","Gut microbiota associated with phenotype","Human","Enterocolitis,Necrotizing; Infant,Premature","Infant,Premature","Firmicutes (1239, gm0332)","phylum","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19369970","Gut microbiota associated with phenotype","Human","Enterocolitis,Necrotizing; Infant,Premature","Infant,Premature","Fusobacteria (32066, gm0341)","phylum","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"19369970","Gut microbiota associated with phenotype","Human","Enterocolitis,Necrotizing; Infant,Premature","Infant,Premature","Proteobacteria (1224, gm0545)","phylum","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"19703328","Gut microbiota associated with phenotype","Human","Anti-Inflammatory Agents,Non-Steroidal(indomethacin,ibuprofen,ketoprofen,diclofenac,piroxicam,celecoxib,nimesulid and aspirin); Aged","Health","Collinsella (102106, gm0217)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19703328","Gut microbiota associated with phenotype","Human","Anti-Inflammatory Agents,Non-Steroidal(indomethacin,ibuprofen,ketoprofen,diclofenac,piroxicam,celecoxib,nimesulid and aspirin); Aged","Health","Coprobacillus (100883, gm0222)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19703328","Gut microbiota associated with phenotype","Human","Anti-Inflammatory Agents,Non-Steroidal(indomethacin,ibuprofen,ketoprofen,diclofenac,piroxicam,celecoxib,nimesulid and aspirin); Aged","Health","Dialister (39948, gm0262)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19703328","Gut microbiota associated with phenotype","Human","Aged","Health","Coprobacillus (100883, gm0222)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19703328","Gut microbiota associated with phenotype","Human","Aged","Health","Dialister sp. (1955814, gm1221)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19703328","Gut microbiota associated with phenotype","Human","Aged","Health","Roseburia (841, gm0571)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19703328","Gut microbiota associated with phenotype","Human","Aged","Health","Ruminococcus (1263, gm0587)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19703328","Interventions change the composition of gut microbiota","Human","Anti-Inflammatory Agents,Non-Steroidal(indomethacin,ibuprofen,ketoprofen,diclofenac,piroxicam,celecoxib,nimesulid and aspirin); Aged","Aged","Collinsella (102106, gm0217)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19703328","Interventions change the composition of gut microbiota","Human","Anti-Inflammatory Agents,Non-Steroidal(indomethacin,ibuprofen,ketoprofen,diclofenac,piroxicam,celecoxib,nimesulid and aspirin); Aged","Aged","Lactobacillus (1578, gm0393)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"19703328","Interventions change the composition of gut microbiota","Human","Anti-Inflammatory Agents,Non-Steroidal(indomethacin,ibuprofen,ketoprofen,diclofenac,piroxicam,celecoxib,nimesulid and aspirin); Aged","Aged","Roseburia (841, gm0571)","genus","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"19849869","Gut microbiota associated with phenotype","Human","Obesity","Health","Faecalibacterium prausnitzii (853, gm0327)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"20014457","Gut microbiota associated with phenotype","Human","Irritable Bowel Syndrome; Diarrhea","Health","Bacteroides intestinalis (329854, gm0872)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20014457","Gut microbiota associated with phenotype","Human","Irritable Bowel Syndrome; Diarrhea","Health","Clostridium cocleatum (69824, gm0199)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20014457","Gut microbiota associated with phenotype","Human","Irritable Bowel Syndrome; Diarrhea","Health","Collinsella aerofaciens (74426, gm0829)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20014457","Gut microbiota associated with phenotype","Human","Irritable Bowel Syndrome; Constipationt","Health","Ruminococcus bromii (40518, gm0588)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"20014457","Gut microbiota associated with phenotype","Human","Irritable bowel syndrome mixed type","Health","Ruminococcus torques (33039, gm1404)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20087741","Gut microbiota associated with phenotype","Human","Diabetes Mellitus,Type 2","Health","Bifidobacterium (1678, gm0105)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20087741","Gut microbiota associated with phenotype","Human","Diabetes Mellitus,Type 2","Health","Clostridium leptum (1535, gm0204)","species","present","16s rRNA gene sequencing","microbial-mediated network","details"
"20087741","Gut microbiota associated with phenotype","Human","Diabetes Mellitus,Type 2","Health","Phocaeicola vulgatus (821, gm0874)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20140211","Gut microbiota associated with phenotype","Human","Diabetes Mellitus,Type 2","Health","Bacilli (91061, gm0066)","class","present","16s rRNA gene sequencing","microbial-mediated network","details"
"20140211","Gut microbiota associated with phenotype","Human","Diabetes Mellitus,Type 2","Health","Bacteroidetes (976, gm0090)","phylum","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"20140211","Gut microbiota associated with phenotype","Human","Diabetes Mellitus,Type 2","Health","Betaproteobacteria (28216, gm0101)","class","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"20140211","Gut microbiota associated with phenotype","Human","Diabetes Mellitus,Type 2","Health","Clostridia (186801, gm0181)","class","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20140211","Gut microbiota associated with phenotype","Human","Diabetes Mellitus,Type 2","Health","Firmicutes (1239, gm0332)","phylum","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20352091","Interventions change the composition of gut microbiota","Human","Clarithromycin; Metronidazole; Omeprazole; Helicobacter pylori","Helicobacter pylori","Actinobacteria (201174, gm0016)","phylum","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20447323","Gut microbiota associated with phenotype","Human","Anemia,Iron-Deficiency","Health","Lactobacillus acidophilus (1579, gm0394)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20648002","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative","Health","Ruminococcus gnavus (33038, gm1220)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"20648002","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative; No Inflammation","Health","Akkermansia muciniphila (239935, gm0030)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20648002","Gut microbiota associated with phenotype","Human","Colitis,Ulcerative; Inflammation","Health","Akkermansia muciniphila (239935, gm0030)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20648002","Gut microbiota associated with phenotype","Human","Crohn Disease; No Inflammation","Health","Ruminococcus gnavus (33038, gm1220)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"20648002","Gut microbiota associated with phenotype","Human","Crohn Disease; Inflammation","Health","Akkermansia muciniphila (239935, gm0030)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20648002","Gut microbiota associated with phenotype","Human","Crohn Disease; Inflammation","Health","Ruminococcus gnavus (33038, gm1220)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"20735782","Interventions change the composition of gut microbiota","Human","Synbiotics(Bifidobacterium longum,Synergy 1); Crohn Disease","Placebos; Crohn Disease","Bifidobacterium (1678, gm0105)","genus","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"20848492","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","butyrate-producing bacterium (2811711, gm1217)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20848492","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Enterococcus sp. (35783, gm0290)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"20848492","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Limosilactobacillus fermentum (1613, gm0877)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"20848492","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Clostridioides difficile (1496, gm0804)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"20848492","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Shigella flexneri (623, gm0603)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"20848492","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Listeria sp. (1960103, gm0426)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"20848492","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Eubacteriales (186802, gm1168)","order","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20848492","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Abyssicoccus albus (1817405, gm1218)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20848492","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Anagyrus callidus (272196, gm1219)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20848492","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Firmicutes (1239, gm0332)","phylum","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20848492","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Ruminococcus bromii (40518, gm0588)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"20939110","Gut microbiota associated with phenotype","Human","Cholecystitis","Health","Helicobacter (209, gm0364)","genus","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"20939110","Gut microbiota associated with phenotype","Human","Metaplastic cholecystitis","No metaplastic occurred cholecystitis","Helicobacter (209, gm0364)","genus","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"20947663","Gut microbiota associated with phenotype","Human","Irritable Bowel Syndrome","Health","Pseudomonas aeruginosa (287, gm0551)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"21253779","Gut microbiota associated with phenotype","Human","Active Crohn's Disease","Health","Clostridium (1485, gm0187)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"21253779","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Bacteroides (816, gm0077)","genus","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"21253779","Gut microbiota associated with phenotype","Human","Crohn Disease","Health","Clostridium (1485, gm0187)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Asymptomatic Infections; Hepatitis B virus","Health","Enterobacteriaceae (543, gm0282)","family","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Asymptomatic Infections; Hepatitis B virus","Health","Enterococcus faecalis (1351, gm0288)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Asymptomatic Infections; Hepatitis B virus","Health","Faecalibacterium prausnitzii (853, gm0327)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Hepatitis B,Chronic","Health","Bifidobacterium (1678, gm0105)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Hepatitis B,Chronic","Health","Enterobacteriaceae (543, gm0282)","family","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Hepatitis B,Chronic","Health","Enterococcus faecalis (1351, gm0288)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Hepatitis B,Chronic","Health","Faecalibacterium prausnitzii (853, gm0327)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Decompensated hepatitis B virus cirrhosis","Health","Bifidobacterium (1678, gm0105)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Decompensated hepatitis B virus cirrhosis","Health","Enterobacteriaceae (543, gm0282)","family","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Decompensated hepatitis B virus cirrhosis","Health","Enterococcus faecalis (1351, gm0288)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Decompensated hepatitis B virus cirrhosis","Health","Faecalibacterium prausnitzii (853, gm0327)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Decompensated hepatitis B virus cirrhosis","Health","Peptostreptococcaceae (186804, gm0517)","family","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Decompensated hepatitis B virus cirrhosis","Health","Solobacterium (123375, gm0609)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Hepatitis B,Chronic","Asymptomatic carriers of hepatitis B virus","Bifidobacterium (1678, gm0105)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Hepatitis B,Chronic","Asymptomatic carriers of hepatitis B virus","Enterococcus faecalis (1351, gm0288)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Decompensated hepatitis B virus cirrhosis","Asymptomatic carriers of hepatitis B virus","Bifidobacterium (1678, gm0105)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Decompensated hepatitis B virus cirrhosis","Asymptomatic carriers of hepatitis B virus","Enterobacteriaceae (543, gm0282)","family","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Decompensated hepatitis B virus cirrhosis","Asymptomatic carriers of hepatitis B virus","Enterococcus faecalis (1351, gm0288)","species","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Decompensated hepatitis B virus cirrhosis","Asymptomatic carriers of hepatitis B virus","Faecalibacterium prausnitzii (853, gm0327)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Decompensated hepatitis B virus cirrhosis","Asymptomatic carriers of hepatitis B virus","Peptostreptococcaceae (186804, gm0517)","family","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Decompensated hepatitis B virus cirrhosis","Asymptomatic carriers of hepatitis B virus","Solobacterium (123375, gm0609)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Decompensated hepatitis B virus cirrhosis","Hepatitis B,Chronic","Bifidobacterium (1678, gm0105)","genus","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Decompensated hepatitis B virus cirrhosis","Hepatitis B,Chronic","Enterobacteriaceae (543, gm0282)","family","increase","16s rRNA gene sequencing","microbial-mediated network","details"
"21286703","Gut microbiota associated with phenotype","Human","Decompensated hepatitis B virus cirrhosis","Hepatitis B,Chronic","Enterococcus faecalis (1351, gm0288)","species","decrease","16s rRNA gene sequencing","microbial-mediated network","details"
